Modelo;Cor;Tam;Códico caixa grade;Descrição modelo;QTD PARES;CAIXA GRADE
4147319;555;356;7014586;SANDÁLIA HAVAIANAS SLIDE CLASSIC BRASIL;2;M0
4147319;555;378;7014586;SANDÁLIA HAVAIANAS SLIDE CLASSIC BRASIL;3;M0
4147319;555;390;7014586;SANDÁLIA HAVAIANAS SLIDE CLASSIC BRASIL;3;M0
4147319;555;412;7014586;SANDÁLIA HAVAIANAS SLIDE CLASSIC BRASIL;2;M0
4147319;555;434;7014586;SANDÁLIA HAVAIANAS SLIDE CLASSIC BRASIL;1;M0
4147319;555;456;7014586;SANDÁLIA HAVAIANAS SLIDE CLASSIC BRASIL;Não recomenda;Não recomenda
4147258;1;290;7014303;SANDÁLIA HAVAIANAS SLIDE CLASSIC;Não recomenda;Não recomenda
4147258;1;312;7014303;SANDÁLIA HAVAIANAS SLIDE CLASSIC;Não recomenda;Não recomenda
4147258;1;334;7014303;SANDÁLIA HAVAIANAS SLIDE CLASSIC;1;M0
4147258;1;356;7014303;SANDÁLIA HAVAIANAS SLIDE CLASSIC;2;M0
4147258;1;378;7014303;SANDÁLIA HAVAIANAS SLIDE CLASSIC;3;M0
4147258;1;390;7014303;SANDÁLIA HAVAIANAS SLIDE CLASSIC;3;M0
4147258;1;412;7014303;SANDÁLIA HAVAIANAS SLIDE CLASSIC;2;M0
4147258;1;434;7014303;SANDÁLIA HAVAIANAS SLIDE CLASSIC;1;M0
4147258;1;456;7014303;SANDÁLIA HAVAIANAS SLIDE CLASSIC;Não recomenda;Não recomenda
4147258;89;290;7014303;SANDÁLIA HAVAIANAS SLIDE CLASSIC;Não recomenda;Não recomenda
4147258;89;312;7014303;SANDÁLIA HAVAIANAS SLIDE CLASSIC;Não recomenda;Não recomenda
4147258;89;334;7014303;SANDÁLIA HAVAIANAS SLIDE CLASSIC;1;M0
4147258;89;356;7014303;SANDÁLIA HAVAIANAS SLIDE CLASSIC;2;M0
4147258;89;378;7014303;SANDÁLIA HAVAIANAS SLIDE CLASSIC;3;M0
